,Player,Pos,PassCmp,PassAtt,PassComp%,PassPrgDist,Assists,xA,KP,IntoFin1/3,PPA,ProgPass,Touches,TakeOnsAtt,TakeOnsSuc%,PrgCar,Carrs1/3,CPA,Season
0,Rodri,MF,102.8,111.8,92.0,484.9,0.28,0.19,1.49,11.5,1.93,11.5,122.1,2.03,65.6,2.37,2.66,0.38,2024
1,Phil Foden,"FW,MF",46.7,54.6,85.4,117.1,0.26,0.21,2.21,2.24,1.79,5.26,66.7,3.31,45.1,2.99,2.56,1.79,2024
2,Julián Álvarez,"MF,FW",34.4,42.8,80.4,101.8,0.27,0.21,2.28,1.46,1.39,3.5,52.9,1.43,47.6,2.18,2.01,0.95,2024
3,Bernardo Silva,"MF,FW",57.7,67.0,86.1,182.3,0.25,0.28,2.21,3.51,1.63,6.2,76.3,2.14,61.0,4.89,2.61,1.23,2024
4,Manuel Akanji,"DF,MF",77.7,83.2,93.4,349.9,0.0,0.06,0.44,7.49,0.55,5.28,90.8,0.15,50.0,1.66,1.81,0.11,2024
5,Jeremy Doku,"FW,MF",39.8,49.0,81.2,88.4,0.42,0.34,2.51,0.72,2.4,3.41,66.0,9.4,52.2,12.1,3.29,7.84,2024
6,Mateo Kovačić,MF,83.1,88.4,94.0,267.6,0.0,0.11,1.22,6.98,0.87,5.81,97.8,1.86,62.5,2.09,2.97,0.06,2024
7,Kevin De Bruyne,MF,51.5,69.7,73.9,247.7,0.79,0.52,4.29,5.08,4.05,8.17,79.3,2.54,31.3,3.33,2.86,0.87,2024
8,John Stones,"DF,MF",66.2,71.1,93.1,243.4,0.0,0.03,0.51,4.49,0.08,4.83,76.9,0.51,16.7,1.36,2.03,0.08,2024
9,Jack Grealish,"FW,MF",44.6,51.8,86.0,95.4,0.09,0.25,2.32,1.34,2.23,4.46,62.2,3.66,43.9,7.77,4.11,4.46,2024
10,Rico Lewis,"DF,MF",57.6,63.1,91.2,125.2,0.0,0.13,1.44,3.22,1.0,3.67,68.9,1.0,44.4,2.33,2.22,0.56,2024
11,Matheus Nunes,MF,51.1,60.7,84.2,107.3,0.27,0.21,1.23,3.15,2.19,4.66,72.5,3.15,39.1,3.84,3.01,1.37,2024
12,Oscar Bobb,"FW,MF",45.6,52.1,87.6,140.6,0.29,0.38,2.65,0.88,5.59,7.35,64.4,5.29,61.1,3.82,1.47,1.47,2024
13,Declan Rice,MF,57.3,64.4,89.1,265.3,0.23,0.13,1.29,6.78,1.06,7.76,74.3,1.29,46.7,2.04,1.84,0.43,2024
14,Martin Ødegaard,MF,49.2,58.1,84.6,229.4,0.24,0.32,2.85,4.65,3.69,9.91,67.5,2.4,46.3,2.61,2.37,1.02,2024
15,Kai Havertz,"MF,FW",26.4,32.9,80.1,84.5,0.25,0.15,1.59,2.3,0.99,3.43,44.0,1.48,38.1,1.84,1.2,0.78,2024
16,Leandro Trossard,"FW,MF",26.6,36.5,72.9,105.8,0.06,0.17,1.31,1.54,1.6,4.23,49.7,2.63,54.3,3.6,2.11,1.43,2024
17,Jorginho,MF,68.5,77.0,89.0,337.2,0.2,0.21,0.98,7.94,2.45,9.9,85.4,0.49,40.0,0.78,1.08,0.0,2024
18,Thomas Partey,"MF,DF",61.5,69.0,89.1,285.3,0.0,0.06,0.75,6.38,1.63,7.5,77.0,1.63,69.2,1.63,1.88,0.13,2024
19,Emile Smith Rowe,MF,47.0,53.5,87.9,127.6,0.27,0.11,1.08,3.51,2.97,5.95,63.5,1.89,42.9,2.7,1.62,0.27,2024
20,Fabio Vieira,"MF,FW",37.0,45.5,81.3,127.6,0.61,0.24,1.52,3.64,1.82,4.55,55.8,2.73,22.2,3.64,0.91,1.82,2024
21,Alexis Mac Allister,MF,59.3,68.5,86.5,268.3,0.18,0.17,1.57,5.73,1.35,7.3,80.6,1.21,52.9,1.46,1.49,0.14,2024
22,Dominik Szoboszlai,MF,54.6,66.1,82.6,210.3,0.09,0.21,2.32,4.21,1.37,6.48,76.9,2.36,43.6,3.13,2.83,0.9,2024
23,Wataru Endo,MF,60.1,68.6,87.6,260.4,0.0,0.08,0.77,5.8,0.99,5.25,79.2,0.83,66.7,0.55,1.1,0.11,2024
24,Cody Gakpo,"FW,MF",23.3,30.4,76.7,94.4,0.29,0.13,1.38,2.41,1.78,4.54,43.7,3.05,58.5,2.3,1.72,0.69,2024
25,Curtis Jones,MF,53.9,59.2,91.0,161.4,0.08,0.08,0.78,4.88,1.01,5.58,70.0,2.25,51.7,2.33,1.94,0.54,2024
26,Ryan Gravenberch,MF,33.2,40.4,82.2,137.6,0.0,0.11,1.23,2.79,2.13,6.15,55.8,4.1,46.0,3.2,2.3,0.82,2024
27,Harvey Elliott,"MF,FW",53.5,64.4,83.0,192.6,0.35,0.3,2.27,4.61,2.98,8.09,74.8,1.42,45.0,2.84,3.4,0.64,2024
28,John McGinn,"MF,FW",29.5,37.1,79.5,179.2,0.12,0.15,1.36,3.77,1.6,5.8,46.9,2.93,55.8,1.79,1.39,0.31,2024
29,Douglas Luiz,MF,54.1,63.2,85.6,236.0,0.15,0.15,1.58,4.18,1.21,5.14,70.9,1.46,51.1,1.86,1.49,0.12,2024
30,Moussa Diaby,"FW,MF",20.3,26.0,78.0,56.9,0.34,0.19,2.03,1.21,1.72,3.02,34.5,2.89,43.3,3.88,1.72,1.64,2024
31,Leon Bailey,"MF,FW",24.9,34.3,72.5,111.3,0.39,0.32,2.26,1.65,2.22,3.57,45.2,5.17,47.9,4.43,2.04,1.78,2024
32,Boubacar Kamara,MF,50.1,56.3,89.1,216.2,0.05,0.08,1.09,5.82,0.65,4.51,64.9,1.63,46.7,1.03,1.2,0.05,2024
33,Youri Tielemans,"MF,FW",43.8,52.7,83.1,223.6,0.33,0.12,1.0,5.61,1.39,7.11,60.9,1.61,51.7,1.28,1.5,0.39,2024
34,Nicolò Zaniolo,"FW,MF",16.1,24.5,65.8,59.1,0.0,0.08,1.08,1.83,0.54,3.23,43.2,5.16,27.1,3.76,1.72,1.61,2024
35,Jacob Ramsey,"FW,MF",27.1,33.9,79.8,90.8,0.11,0.15,1.05,2.32,0.53,2.95,45.6,2.11,40.0,3.47,2.0,1.16,2024
36,Morgan Rogers,"MF,FW",20.7,27.5,75.4,119.3,0.14,0.06,1.27,2.25,1.69,3.94,40.7,4.65,51.5,3.1,1.55,0.85,2024
37,Jhon Durán,"FW,MF",15.3,22.6,68.0,42.8,0.0,0.05,0.7,1.4,0.23,1.86,37.2,1.16,40.0,2.09,1.16,1.16,2024
38,Dejan Kulusevski,"FW,MF",31.3,40.6,77.1,119.4,0.1,0.23,2.15,1.82,2.46,4.75,53.1,4.21,42.4,4.98,2.02,2.73,2024
39,Yves Bissouma,MF,73.4,80.1,91.7,313.7,0.0,0.07,0.48,6.78,0.52,7.35,92.1,2.04,57.4,1.87,1.83,0.3,2024
40,Pape Matar Sarr,MF,51.2,58.6,87.4,183.6,0.13,0.09,0.9,4.75,1.03,6.55,68.9,1.7,50.0,1.93,2.51,0.13,2024
41,James Maddison,MF,50.0,62.4,80.2,262.1,0.35,0.26,2.72,5.44,2.5,9.34,72.9,3.51,40.0,2.54,2.5,1.36,2024
42,Rodrigo Bentancur,MF,60.1,71.8,83.6,236.0,0.1,0.1,0.78,6.31,1.07,6.6,83.8,2.04,52.4,1.55,2.04,0.19,2024
43,Pierre Højbjerg,MF,84.2,96.6,87.1,492.4,0.0,0.1,0.56,11.1,0.84,9.3,108.4,1.61,52.2,1.19,1.75,0.14,2024
44,Oliver Skipp,"MF,DF",44.0,47.9,91.9,185.1,0.0,0.06,0.91,4.81,0.39,4.68,56.1,0.39,66.7,0.91,0.39,0.13,2024
45,Giovani Lo Celso,MF,80.2,89.8,89.3,370.2,0.36,0.34,3.21,7.86,2.5,12.1,101.8,2.5,57.1,4.46,3.57,0.0,2024
