,Player,Nation,Position,Age,90s,PassCmp,PassAtt,PassComp%,PassTotDist,PassPrgDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MediumPassCmp,MediumPassAtt,MediumPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xAssists,A-xAG,Key passes,IntoFin1/3,PassPenArea,Crosses,ProgressivePass,Season
0,Dejan Kulusevski,se SWE,"FW,MF",24-015,28.5,31.7,41.0,77.3,449.3,121.5,20.4,23.4,87.0,9.26,12.0,77.4,1.3,2.35,55.2,0.11,0.26,0.23,-0.15,2.14,1.86,2.46,0.56,4.91,2024
1,Yves Bissouma,ml MLI,MF,27-254,22.2,74.2,80.8,91.9,1103.3,315.1,41.5,44.1,94.3,26.8,28.6,93.6,2.97,3.65,81.5,0.0,0.02,0.08,-0.02,0.5,6.85,0.45,0.0,7.25,2024
2,Pape Matar Sarr,sn SEN,MF,21-239,20.4,51.0,59.0,86.5,746.1,185.7,28.7,31.2,91.8,17.4,19.8,87.9,2.35,3.48,67.6,0.15,0.11,0.09,0.04,0.93,4.95,1.03,0.2,6.57,2024
3,James Maddison,eng ENG,MF,27-169,20.8,49.4,61.8,79.9,796.5,258.9,25.8,28.0,92.1,18.7,23.1,81.0,3.75,7.31,51.3,0.34,0.24,0.26,0.1,2.64,5.63,2.69,0.14,9.28,2024
4,Rodrigo Bentancur,uy URU,MF,26-320,9.6,59.2,71.1,83.2,878.5,234.1,33.5,37.7,89.0,21.4,24.8,86.1,2.71,3.75,72.2,0.1,0.05,0.1,0.05,0.83,6.15,1.15,0.1,6.77,2024
5,Pierre Højbjerg,dk DEN,MF,28-279,13.3,84.5,96.8,87.3,1362.9,492.4,45.3,49.9,90.8,29.5,32.2,91.6,6.69,9.7,69.0,0.0,0.08,0.11,-0.08,0.6,10.8,0.75,0.08,9.25,2024
6,Oliver Skipp,eng ENG,"MF,FW",23-237,6.8,44.3,48.2,91.8,640.6,188.5,26.3,27.5,95.7,14.4,15.3,94.2,2.21,2.94,75.0,0.0,0.09,0.07,-0.09,1.03,5.15,0.44,0.0,4.71,2024
7,Giovani Lo Celso,ar ARG,MF,28-031,5.5,79.6,88.9,89.6,1196.4,368.9,44.0,46.9,93.8,26.4,28.5,92.4,5.82,7.64,76.2,0.36,0.35,0.35,0.02,3.27,8.0,2.55,0.55,12.2,2024
8,Bryan Gil,es ESP,"FW,MF",23-089,2.3,55.2,68.3,80.9,786.5,149.6,30.0,35.2,85.2,23.5,27.0,87.1,0.43,0.87,50.0,0.0,0.09,0.13,-0.09,1.74,2.61,3.48,0.43,6.96,2024
9,Pierre Højbjerg,dk DEN,MF,26.0,34.8,58.1,65.9,88.2,1043.8,278.9,25.8,27.9,92.5,23.4,25.7,90.9,6.95,9.02,77.1,0.14,0.09,0.09,0.05,0.86,5.95,1.01,0.14,6.75,2023
10,Son Heung-min,kr KOR,"MF,FW",30.0,32.1,21.2,28.3,74.8,290.2,78.1,12.8,14.9,86.0,5.95,7.76,76.7,1.12,2.8,40.0,0.19,0.2,0.14,-0.02,1.9,1.0,1.0,0.19,2.46,2023
11,Ivan Perišić,hr CRO,"DF,MF",33.0,23.4,30.5,47.9,63.6,537.0,152.8,15.3,18.9,80.6,10.6,16.6,64.0,3.89,8.97,43.3,0.34,0.26,0.22,0.08,2.05,1.24,1.54,1.03,2.61,2023
12,Dejan Kulusevski,se SWE,"MF,FW",22.0,23.0,25.3,32.4,78.0,353.0,87.2,15.4,17.8,86.6,7.78,9.83,79.2,1.09,2.22,49.0,0.3,0.2,0.21,0.1,2.04,0.61,1.65,0.48,2.91,2023
13,Oliver Skipp,eng ENG,MF,21.0,16.6,39.8,46.5,85.5,643.0,158.9,19.6,21.3,92.1,16.3,18.1,90.0,2.53,3.8,66.7,0.0,0.04,0.02,-0.04,0.6,3.13,0.42,0.06,3.37,2023
14,Rodrigo Bentancur,uy URU,MF,25.0,16.7,44.2,52.7,83.9,687.5,190.3,22.0,24.7,89.1,18.0,20.1,89.6,2.34,4.19,55.7,0.12,0.05,0.04,0.07,0.66,3.23,0.54,0.24,4.55,2023
15,Pedro Porro,es ESP,"DF,MF",22.0,12.6,36.9,51.4,71.8,599.4,206.7,19.1,21.6,88.6,13.3,17.5,76.0,3.41,7.78,43.9,0.24,0.24,0.18,0.0,1.98,2.22,1.83,1.11,3.1,2023
16,Richarlison,br BRA,"MF,FW",25.0,11.2,17.5,24.9,70.3,261.3,62.5,9.73,12.9,75.2,5.36,7.32,73.2,1.16,1.61,72.2,0.27,0.2,0.13,0.07,1.43,1.43,0.89,0.27,2.5,2023
17,Yves Bissouma,ml MLI,MF,25.0,11.2,59.5,65.4,90.9,929.6,208.3,30.4,31.9,95.2,24.2,25.8,93.8,3.39,4.29,79.2,0.0,0.04,0.04,-0.04,0.71,4.91,0.45,0.09,5.54,2023
18,Matt Doherty,ie IRL,"DF,MF",30.0,7.4,44.5,55.1,80.6,661.6,165.1,25.7,27.6,93.1,14.5,18.5,78.1,2.43,4.73,51.4,0.0,0.04,0.04,-0.04,0.81,1.89,0.68,0.41,2.7,2023
19,Pape Matar Sarr,sn SEN,"MF,FW",19.0,2.4,58.8,64.2,91.6,887.5,187.1,29.2,30.4,95.9,25.8,27.1,95.4,1.25,3.33,37.5,0.42,0.13,0.0,0.29,0.83,3.75,0.0,0.0,5.42,2023
20,Bryan Gil,es ESP,"MF,FW",21.0,1.6,29.4,37.5,78.3,398.8,57.5,16.3,20.0,81.3,8.75,10.0,87.5,1.25,2.5,50.0,0.63,0.13,0.06,0.5,1.25,1.88,1.25,0.0,3.13,2023
21,Arnaut Danjuma,nl NED,"FW,MF",25.0,1.9,20.5,29.5,69.6,270.5,56.3,15.3,18.4,82.9,4.21,5.26,80.0,1.05,1.05,100.0,0.0,0.0,0.05,0.0,0.53,2.63,1.05,1.05,1.05,2023
22,Lucas Moura,br BRA,"MF,DF",29.0,1.7,36.5,52.4,69.7,488.8,155.3,22.9,29.4,78.0,12.4,15.3,80.8,0.0,1.76,0.0,0.0,0.18,0.24,-0.18,2.35,1.76,2.94,0.59,7.65,2023
23,Matthew Craig,sct SCO,MF,19.0,0.2,25.0,30.0,83.3,325.0,5.0,20.0,20.0,100.0,5.0,10.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
24,Harvey White,eng ENG,MF,20.0,0.1,30.0,80.0,37.5,540.0,210.0,20.0,30.0,66.7,0.0,20.0,0.0,10.0,30.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2023
25,George Abbott,eng ENG,MF,16.0,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
